angle, ax, az, gy, dt
0.6710, 1604, 15200, -112, 0.0030
0.7259, 1548, 15204, -148, 0.0030
0.7348, 1588, 15100, -135, 0.0040
0.3978, 1728, 15196, -152, 0.0030
0.2486, 1688, 15280, -142, 0.0030
0.1436, 1796, 15300, -156, 0.0040
-0.2763, 1896, 15128, -145, 0.0030
-0.4233, 1868, 15232, -145, 0.0030
-0.2895, 1828, 15164, -146, 0.0040
-0.2775, 1868, 15284, -131, 0.0030
-0.3308, 1876, 15320, -108, 0.0040
-0.4442, 1908, 15112, -88, 0.0030
-0.6248, 1968, 15268, -98, 0.0030
-0.5782, 1896, 15220, -88, 0.0040
-0.3630, 1832, 15108, -116, 0.0030
-0.2634, 1852, 15300, -82, 0.0040
-0.1895, 1812, 15272, -103, 0.0030
-0.1263, 1820, 15316, -109, 0.0030
-0.0505, 1760, 15180, -82, 0.0040
0.0359, 1756, 15168, -122, 0.0030
0.1712, 1692, 15220, -130, 0.0030
0.1676, 1772, 15296, -144, 0.0040
0.0362, 1768, 15268, -175, 0.0030
0.2278, 1656, 15180, -201, 0.0030
0.2871, 1736, 15276, -205, 0.0040
0.1856, 1716, 15232, -249, 0.0030
0.6281, 1484, 15136, -266, 0.0030
0.8455, 1604, 15292, -318, 0.0040
0.5510, 1648, 15204, -367, 0.0030
0.6245, 1560, 15244, -387, 0.0030
0.7849, 1548, 15084, -434, 0.0040
0.8821, 1512, 15292, -474, 0.0030
0.9917, 1500, 15180, -489, 0.0030
1.0100, 1508, 15372, -564, 0.0040
0.8371, 1604, 15296, -612, 0.0030
0.6428, 1584, 15096, -608, 0.0040
0.6569, 1596, 15296, -678, 0.0030
0.5684, 1648, 15244, -721, 0.0030
0.4274, 1676, 15352, -748, 0.0040
0.3567, 1692, 15300, -764, 0.0030
0.4298, 1624, 15220, -770, 0.0030
0.3555, 1716, 15176, -802, 0.0040
0.2940, 1648, 15140, -823, 0.0030
0.1121, 1800, 15048, -849, 0.0030
-0.2137, 1828, 15204, -845, 0.0040
-0.2942, 1864, 15220, -848, 0.0030
-0.4978, 1936, 15176, -869, 0.0030
-0.6476, 1932, 15136, -855, 0.0040
-0.6991, 1968, 15208, -848, 0.0030
-0.6586, 1924, 15244, -841, 0.0040
-0.4796, 1868, 15180, -851, 0.0030
-0.4787, 1924, 15232, -845, 0.0030
-0.6212, 1940, 15160, -869, 0.0040
-0.5843, 1896, 15168, -858, 0.0030
-0.5682, 1944, 15260, -873, 0.0040
-0.7068, 1968, 15148, -858, 0.0030
-0.6789, 1916, 15160, -906, 0.0040
-0.6837, 1976, 15192, -911, 0.0030
-0.9045, 2016, 15004, -901, 0.0030
-0.7194, 1868, 15144, -939, 0.0040
-0.4728, 1912, 15224, -950, 0.0030
-0.7528, 2044, 15336, -945, 0.0040
-1.0376, 2072, 15268, -934, 0.0030
-0.9320, 1996, 15392, -938, 0.0030
-0.8577, 1996, 15016, -937, 0.0040
-0.9818, 2036, 15184, -928, 0.0030
-1.1261, 2096, 15180, -893, 0.0040
-1.5105, 2240, 15156, -877, 0.0030
-1.4974, 2072, 15056, -872, 0.0040
-1.3918, 2168, 15052, -872, 0.0030
-1.4968, 2148, 15180, -844, 0.0030
-1.5243, 2188, 15100, -835, 0.0040
-1.7030, 2240, 15148, -831, 0.0030
-1.7713, 2220, 15068, -842, 0.0040
-1.8585, 2268, 15020, -803, 0.0030
-2.2143, 2428, 15156, -785, 0.0030
-2.4725, 2432, 15188, -754, 0.0040
-2.5381, 2464, 15156, -723, 0.0030
-2.6546, 2492, 15164, -689, 0.0040
-2.6528, 2476, 15232, -622, 0.0030
-2.8248, 2588, 15172, -563, 0.0040
-3.0291, 2584, 15208, -548, 0.0030
-3.0479, 2588, 15100, -457, 0.0030
-3.1163, 2612, 15156, -424, 0.0040
-3.1515, 2632, 15240, -343, 0.0030
-3.4038, 2760, 15208, -312, 0.0040
-3.6891, 2768, 15124, -237, 0.0030
-3.6829, 2744, 15128, -156, 0.0030
-3.5531, 2712, 15204, -78, 0.0040
-3.6369, 2804, 15200, 1, 0.0030
-3.8531, 2788, 14968, 74, 0.0030
-3.7944, 2772, 15196, 151, 0.0040
-3.5728, 2700, 15140, 227, 0.0030
-3.6454, 2784, 15040, 323, 0.0030
-3.7356, 2752, 15148, 372, 0.0040
-3.7350, 2828, 15276, 426, 0.0030
-3.8925, 2828, 15092, 514, 0.0030
-3.7364, 2736, 15232, 583, 0.0040
-3.7471, 2828, 15056, 665, 0.0030
-3.8229, 2744, 15048, 717, 0.0030
