236,-17036,-157,287,119
-396,272,-17152,-171,243,122
-352,196,-17244,-142,233,122
-316,112,-17368,-150,268,111
-360,276,-17260,-190,263,148
-388,304,-17036,-149,249,105
-376,260,-17200,-154,247,126
-340,240,-17180,-174,237,116
-300,16,-17396,-159,229,104
-348,232,-17120,-178,230,111
-280,268,-17100,-142,260,107
-504,312,-17360,-169,249,102
-392,152,-17320,-190,286,130
-280,236,-17288,-170,264,88
-432,312,-17284,-158,256,108
-288,152,-17356,-176,307,119
-316,216,-17212,-146,218,119
-352,236,-17128,-146,271,116
-348,276,-17324,-160,213,115
-360,196,-17356,-149,223,102
-344,184,-17192,-158,260,122
-376,172,-17200,-179,215,118
-308,336,-17264,-167,273,118
-364,200,-17352,-171,300,132
-404,84,-17180,-159,244,126
